path,label,split
data\raw\heart\heart (851).jpg,heart,train
data\raw\heart\heart (889).jpg,heart,train
data\raw\heart\heart (421).jpg,heart,train
data\raw\heart\heart (633).jpg,heart,train
data\raw\heart\heart (808).jpg,heart,train
data\raw\heart\heart (268).jpg,heart,train
data\raw\heart\heart (158).jpg,heart,train
data\raw\heart\heart (418).jpg,heart,train
data\raw\heart\heart (818).jpg,heart,train
data\raw\heart\heart (910).jpg,heart,train
data\raw\heart\heart (927).jpg,heart,train
data\raw\heart\heart (947).jpg,heart,train
data\raw\heart\heart (396).jpg,heart,train
data\raw\heart\heart (753).jpg,heart,train
data\raw\heart\heart (455).jpg,heart,train
data\raw\heart\heart (515).jpg,heart,train
data\raw\heart\heart (452).jpg,heart,train
data\raw\heart\heart (379).jpg,heart,train
data\raw\heart\heart (710).jpg,heart,train
data\raw\heart\heart (769).jpg,heart,train
data\raw\heart\heart (928).jpg,heart,train
data\raw\heart\heart (513).jpg,heart,train
data\raw\heart\heart (569).jpg,heart,train
data\raw\heart\heart (667).jpg,heart,train
data\raw\heart\heart (54).jpg,heart,train
data\raw\heart\heart (274).jpg,heart,train
data\raw\heart\heart (329).jpg,heart,train
data\raw\heart\heart (722).jpg,heart,train
data\raw\heart\heart (765).jpg,heart,train
data\raw\heart\heart (618).jpg,heart,train
data\raw\heart\heart (24).jpg,heart,train
data\raw\heart\heart (65).jpg,heart,train
data\raw\heart\heart (451).jpg,heart,train
data\raw\heart\heart (971).jpg,heart,train
data\raw\heart\heart (718).jpg,heart,train
data\raw\heart\heart (423).jpg,heart,train
data\raw\heart\heart (833).jpg,heart,train
data\raw\heart\heart (46).jpg,heart,train
data\raw\heart\heart (181).jpg,heart,train
data\raw\heart\heart (924).jpg,heart,train
data\raw\heart\heart (539).jpg,heart,train
data\raw\heart\heart (504).jpg,heart,train
data\raw\heart\heart (324).jpg,heart,train
data\raw\heart\heart (687).jpg,heart,train
data\raw\heart\heart (791).jpg,heart,train
data\raw\heart\heart (701).jpg,heart,train
data\raw\heart\heart (214).jpg,heart,train
data\raw\heart\heart (672).jpg,heart,train
data\raw\heart\heart (991).jpg,heart,train
data\raw\heart\heart (406).jpg,heart,train
data\raw\heart\heart (376).jpg,heart,train
data\raw\heart\heart (220).jpg,heart,train
data\raw\heart\heart (178).jpg,heart,train
data\raw\heart\heart (393).jpg,heart,train
data\raw\heart\heart (526).jpg,heart,train
data\raw\heart\heart (982).jpg,heart,train
data\raw\heart\heart (864).jpg,heart,train
data\raw\heart\heart (901).jpg,heart,train
data\raw\heart\heart (436).jpg,heart,train
data\raw\heart\heart (259).jpg,heart,train
data\raw\heart\heart (121).jpg,heart,train
data\raw\heart\heart (412).jpg,heart,train
data\raw\heart\heart (548).jpg,heart,train
data\raw\heart\heart (525).jpg,heart,train
data\raw\heart\heart (654).jpg,heart,train
data\raw\heart\heart (726).jpg,heart,train
data\raw\heart\heart (143).jpg,heart,train
data\raw\heart\heart (289).jpg,heart,train
data\raw\heart\heart (441).jpg,heart,train
data\raw\heart\heart (894).jpg,heart,train
data\raw\heart\heart (254).jpg,heart,train
data\raw\heart\heart (230).jpg,heart,train
data\raw\heart\heart (476).jpg,heart,train
data\raw\heart\heart (964).jpg,heart,train
data\raw\heart\heart (231).jpg,heart,train
data\raw\heart\heart (977).jpg,heart,train
data\raw\heart\heart (17).jpg,heart,train
data\raw\heart\heart (797).jpg,heart,train
data\raw\heart\heart (370).jpg,heart,train
data\raw\heart\heart (995).jpg,heart,train
data\raw\heart\heart (571).jpg,heart,train
data\raw\heart\heart (796).jpg,heart,train
data\raw\heart\heart (306).jpg,heart,train
data\raw\heart\heart (661).jpg,heart,train
data\raw\heart\heart (819).jpg,heart,train
data\raw\heart\heart (603).jpg,heart,train
data\raw\heart\heart (557).jpg,heart,train
data\raw\heart\heart (855).jpg,heart,train
data\raw\heart\heart (543).jpg,heart,train
data\raw\heart\heart (205).jpg,heart,train
data\raw\heart\heart (528).jpg,heart,train
data\raw\heart\heart (228).jpg,heart,train
data\raw\heart\heart (124).jpg,heart,train
data\raw\heart\heart (918).jpg,heart,train
data\raw\heart\heart (207).jpg,heart,train
data\raw\heart\heart (643).jpg,heart,train
data\raw\heart\heart (153).jpg,heart,train
data\raw\heart\heart (883).jpg,heart,train
data\raw\heart\heart (613).jpg,heart,train
data\raw\heart\heart (102).jpg,heart,train
data\raw\heart\heart (932).jpg,heart,train
data\raw\heart\heart (674).jpg,heart,train
data\raw\heart\heart (494).jpg,heart,train
data\raw\heart\heart (755).jpg,heart,train
data\raw\heart\heart (272).jpg,heart,train
data\raw\heart\heart (776).jpg,heart,train
data\raw\heart\heart (662).jpg,heart,train
data\raw\heart\heart (612).jpg,heart,train
data\raw\heart\heart (113).jpg,heart,train
data\raw\heart\heart (767).jpg,heart,train
data\raw\heart\heart (921).jpg,heart,train
data\raw\heart\heart (558).jpg,heart,train
data\raw\heart\heart (614).jpg,heart,train
data\raw\heart\heart (222).jpg,heart,train
data\raw\heart\heart (270).jpg,heart,train
data\raw\heart\heart (101).jpg,heart,train
data\raw\heart\heart (498).jpg,heart,train
data\raw\heart\heart (116).jpg,heart,train
data\raw\heart\heart (290).jpg,heart,train
data\raw\heart\heart (156).jpg,heart,train
data\raw\heart\heart (469).jpg,heart,train
data\raw\heart\heart (37).jpg,heart,train
data\raw\heart\heart (399).jpg,heart,train
data\raw\heart\heart (271).jpg,heart,train
data\raw\heart\heart (697).jpg,heart,train
data\raw\heart\heart (334).jpg,heart,train
data\raw\heart\heart (681).jpg,heart,train
data\raw\heart\heart (828).jpg,heart,train
data\raw\heart\heart (307).jpg,heart,train
data\raw\heart\heart (814).jpg,heart,train
data\raw\heart\heart (711).jpg,heart,train
data\raw\heart\heart (822).jpg,heart,train
data\raw\heart\heart (532).jpg,heart,train
data\raw\heart\heart (422).jpg,heart,train
data\raw\heart\heart (853).jpg,heart,train
data\raw\heart\heart (310).jpg,heart,train
data\raw\heart\heart (663).jpg,heart,train
data\raw\heart\heart (960).jpg,heart,train
data\raw\heart\heart (622).jpg,heart,train
data\raw\heart\heart (343).jpg,heart,train
data\raw\heart\heart (28).jpg,heart,train
data\raw\heart\heart (11).jpg,heart,train
data\raw\heart\heart (483).jpg,heart,train
data\raw\heart\heart (313).jpg,heart,train
data\raw\heart\heart (174).jpg,heart,train
data\raw\heart\heart (578).jpg,heart,train
data\raw\heart\heart (253).jpg,heart,train
data\raw\heart\heart (359).jpg,heart,train
data\raw\heart\heart (535).jpg,heart,train
data\raw\heart\heart (395).jpg,heart,train
data\raw\heart\heart (713).jpg,heart,train
data\raw\heart\heart (385).jpg,heart,train
data\raw\heart\heart (507).jpg,heart,train
data\raw\heart\heart (322).jpg,heart,train
data\raw\heart\heart (860).jpg,heart,train
data\raw\heart\heart (35).jpg,heart,train
data\raw\heart\heart (508).jpg,heart,train
data\raw\heart\heart (91).jpg,heart,train
data\raw\heart\heart (784).jpg,heart,train
data\raw\heart\heart (591).jpg,heart,train
data\raw\heart\heart (260).jpg,heart,train
data\raw\heart\heart (60).jpg,heart,train
data\raw\heart\heart (664).jpg,heart,train
data\raw\heart\heart (48).jpg,heart,train
data\raw\heart\heart (858).jpg,heart,train
data\raw\heart\heart (107).jpg,heart,train
data\raw\heart\heart (278).jpg,heart,train
data\raw\heart\heart (481).jpg,heart,train
data\raw\heart\heart (58).jpg,heart,train
data\raw\heart\heart (126).jpg,heart,train
data\raw\heart\heart (62).jpg,heart,train
data\raw\heart\heart (462).jpg,heart,train
data\raw\heart\heart (348).jpg,heart,train
data\raw\heart\heart (499).jpg,heart,train
data\raw\heart\heart (793).jpg,heart,train
data\raw\heart\heart (433).jpg,heart,train
data\raw\heart\heart (749).jpg,heart,train
data\raw\heart\heart (459).jpg,heart,train
data\raw\heart\heart (169).jpg,heart,train
data\raw\heart\heart (582).jpg,heart,train
data\raw\heart\heart (616).jpg,heart,train
data\raw\heart\heart (592).jpg,heart,train
data\raw\heart\heart (738).jpg,heart,train
data\raw\heart\heart (135).jpg,heart,train
data\raw\heart\heart (896).jpg,heart,train
data\raw\heart\heart (668).jpg,heart,train
data\raw\heart\heart (871).jpg,heart,train
data\raw\heart\heart (223).jpg,heart,train
data\raw\heart\heart (445).jpg,heart,train
data\raw\heart\heart (509).jpg,heart,train
data\raw\heart\heart (938).jpg,heart,train
data\raw\heart\heart (830).jpg,heart,train
data\raw\heart\heart (224).jpg,heart,train
data\raw\heart\heart (660).jpg,heart,train
data\raw\heart\heart (387).jpg,heart,train
data\raw\heart\heart (736).jpg,heart,train
data\raw\heart\heart (51).jpg,heart,train
data\raw\heart\heart (885).jpg,heart,train
data\raw\heart\heart (392).jpg,heart,train
data\raw\heart\heart (211).jpg,heart,train
data\raw\heart\heart (217).jpg,heart,train
data\raw\heart\heart (834).jpg,heart,train
data\raw\heart\heart (456).jpg,heart,train
data\raw\heart\heart (922).jpg,heart,train
data\raw\heart\heart (993).jpg,heart,train
data\raw\heart\heart (472).jpg,heart,train
data\raw\heart\heart (634).jpg,heart,train
data\raw\heart\heart (330).jpg,heart,train
data\raw\heart\heart (380).jpg,heart,train
data\raw\heart\heart (467).jpg,heart,train
data\raw\heart\heart (244).jpg,heart,train
data\raw\heart\heart (372).jpg,heart,train
data\raw\heart\heart (356).jpg,heart,train
data\raw\heart\heart (679).jpg,heart,train
data\raw\heart\heart (670).jpg,heart,train
data\raw\heart\heart (416).jpg,heart,train
data\raw\heart\heart (16).jpg,heart,train
data\raw\heart\heart (709).jpg,heart,train
data\raw\heart\heart (849).jpg,heart,train
data\raw\heart\heart (940).jpg,heart,train
data\raw\heart\heart (71).jpg,heart,train
data\raw\heart\heart (746).jpg,heart,train
data\raw\heart\heart (311).jpg,heart,train
data\raw\heart\heart (337).jpg,heart,train
data\raw\heart\heart (18).jpg,heart,train
data\raw\heart\heart (850).jpg,heart,train
data\raw\heart\heart (875).jpg,heart,train
data\raw\heart\heart (147).jpg,heart,train
data\raw\heart\heart (690).jpg,heart,train
data\raw\heart\heart (948).jpg,heart,train
data\raw\heart\heart (464).jpg,heart,train
data\raw\heart\heart (440).jpg,heart,train
data\raw\heart\heart (21).jpg,heart,train
data\raw\heart\heart (540).jpg,heart,train
data\raw\heart\heart (820).jpg,heart,train
data\raw\heart\heart (909).jpg,heart,train
data\raw\heart\heart (486).jpg,heart,train
data\raw\heart\heart (95).jpg,heart,train
data\raw\heart\heart (731).jpg,heart,train
data\raw\heart\heart (363).jpg,heart,train
data\raw\heart\heart (89).jpg,heart,train
data\raw\heart\heart (29).jpg,heart,train
data\raw\heart\heart (925).jpg,heart,train
data\raw\heart\heart (131).jpg,heart,train
data\raw\heart\heart (873).jpg,heart,train
data\raw\heart\heart (907).jpg,heart,train
data\raw\heart\heart (210).jpg,heart,train
data\raw\heart\heart (119).jpg,heart,train
data\raw\heart\heart (854).jpg,heart,train
data\raw\heart\heart (978).jpg,heart,train
data\raw\heart\heart (19).jpg,heart,train
data\raw\heart\heart (201).jpg,heart,train
data\raw\heart\heart (490).jpg,heart,train
data\raw\heart\heart (954).jpg,heart,train
data\raw\heart\heart (206).jpg,heart,train
data\raw\heart\heart (444).jpg,heart,train
data\raw\heart\heart (140).jpg,heart,train
data\raw\heart\heart (252).jpg,heart,train
data\raw\heart\heart (384).jpg,heart,train
data\raw\heart\heart (390).jpg,heart,train
data\raw\heart\heart (891).jpg,heart,train
data\raw\heart\heart (335).jpg,heart,train
data\raw\heart\heart (229).jpg,heart,train
data\raw\heart\heart (137).jpg,heart,train
data\raw\heart\heart (552).jpg,heart,train
data\raw\heart\heart (176).jpg,heart,train
data\raw\heart\heart (437).jpg,heart,train
data\raw\heart\heart (576).jpg,heart,train
data\raw\heart\heart (985).jpg,heart,train
data\raw\heart\heart (865).jpg,heart,train
data\raw\heart\heart (409).jpg,heart,train
data\raw\heart\heart (461).jpg,heart,train
data\raw\heart\heart (301).jpg,heart,train
data\raw\heart\heart (988).jpg,heart,train
data\raw\heart\heart (246).jpg,heart,train
data\raw\heart\heart (40).jpg,heart,train
data\raw\heart\heart (639).jpg,heart,train
data\raw\heart\heart (923).jpg,heart,train
data\raw\heart\heart (523).jpg,heart,train
data\raw\heart\heart (500).jpg,heart,train
data\raw\heart\heart (195).jpg,heart,train
data\raw\heart\heart (87).jpg,heart,train
data\raw\heart\heart (238).jpg,heart,train
data\raw\heart\heart (510).jpg,heart,train
data\raw\heart\heart (350).jpg,heart,train
data\raw\heart\heart (285).jpg,heart,train
data\raw\heart\heart (237).jpg,heart,train
data\raw\heart\heart (627).jpg,heart,train
data\raw\heart\heart (780).jpg,heart,train
data\raw\heart\heart (986).jpg,heart,train
data\raw\heart\heart (443).jpg,heart,train
data\raw\heart\heart (82).jpg,heart,train
data\raw\heart\heart (682).jpg,heart,train
data\raw\heart\heart (824).jpg,heart,train
data\raw\heart\heart (581).jpg,heart,train
data\raw\heart\heart (551).jpg,heart,train
data\raw\heart\heart (762).jpg,heart,train
data\raw\heart\heart (601).jpg,heart,train
data\raw\heart\heart (589).jpg,heart,train
data\raw\heart\heart (419).jpg,heart,train
data\raw\heart\heart (284).jpg,heart,train
data\raw\heart\heart (899).jpg,heart,train
data\raw\heart\heart (649).jpg,heart,train
data\raw\heart\heart (739).jpg,heart,train
data\raw\heart\heart (577).jpg,heart,train
data\raw\heart\heart (331).jpg,heart,train
data\raw\heart\heart (236).jpg,heart,train
data\raw\heart\heart (866).jpg,heart,train
data\raw\heart\heart (155).jpg,heart,train
data\raw\heart\heart (49).jpg,heart,train
data\raw\heart\heart (403).jpg,heart,train
data\raw\heart\heart (560).jpg,heart,train
data\raw\heart\heart (772).jpg,heart,train
data\raw\heart\heart (537).jpg,heart,train
data\raw\heart\heart (570).jpg,heart,train
data\raw\heart\heart (902).jpg,heart,train
data\raw\heart\heart (956).jpg,heart,train
data\raw\heart\heart (266).jpg,heart,train
data\raw\heart\heart (704).jpg,heart,train
data\raw\heart\heart (407).jpg,heart,train
data\raw\heart\heart (438).jpg,heart,train
data\raw\heart\heart (911).jpg,heart,train
data\raw\heart\heart (43).jpg,heart,train
data\raw\heart\heart (61).jpg,heart,train
data\raw\heart\heart (346).jpg,heart,train
data\raw\heart\heart (72).jpg,heart,train
data\raw\heart\heart (338).jpg,heart,train
data\raw\heart\heart (802).jpg,heart,train
data\raw\heart\heart (942).jpg,heart,train
data\raw\heart\heart (579).jpg,heart,train
data\raw\heart\heart (118).jpg,heart,train
data\raw\heart\heart (587).jpg,heart,train
data\raw\heart\heart (186).jpg,heart,train
data\raw\heart\heart (364).jpg,heart,train
data\raw\heart\heart (512).jpg,heart,train
data\raw\heart\heart (276).jpg,heart,train
data\raw\heart\heart (735).jpg,heart,train
data\raw\heart\heart (333).jpg,heart,train
data\raw\heart\heart (378).jpg,heart,train
data\raw\heart\heart (980).jpg,heart,train
data\raw\heart\heart (242).jpg,heart,train
data\raw\heart\heart (460).jpg,heart,train
data\raw\heart\heart (584).jpg,heart,train
data\raw\heart\heart (257).jpg,heart,train
data\raw\heart\heart (752).jpg,heart,train
data\raw\heart\heart (812).jpg,heart,train
data\raw\heart\heart (835).jpg,heart,train
data\raw\heart\heart (8).jpg,heart,train
data\raw\heart\heart (78).jpg,heart,train
data\raw\heart\heart (366).jpg,heart,train
data\raw\heart\heart (180).jpg,heart,train
data\raw\heart\heart (935).jpg,heart,train
data\raw\heart\heart (502).jpg,heart,train
data\raw\heart\heart (68).jpg,heart,train
data\raw\heart\heart (110).jpg,heart,train
data\raw\heart\heart (530).jpg,heart,train
data\raw\heart\heart (996).jpg,heart,train
data\raw\heart\heart (880).jpg,heart,train
data\raw\heart\heart (487).jpg,heart,train
data\raw\heart\heart (724).jpg,heart,train
data\raw\heart\heart (550).jpg,heart,train
data\raw\heart\heart (332).jpg,heart,train
data\raw\heart\heart (394).jpg,heart,train
data\raw\heart\heart (26).jpg,heart,train
data\raw\heart\heart (606).jpg,heart,train
data\raw\heart\heart (454).jpg,heart,train
data\raw\heart\heart (544).jpg,heart,train
data\raw\heart\heart (13).jpg,heart,train
data\raw\heart\heart (497).jpg,heart,train
data\raw\heart\heart (933).jpg,heart,train
data\raw\heart\heart (692).jpg,heart,train
data\raw\heart\heart (671).jpg,heart,train
data\raw\heart\heart (187).jpg,heart,train
data\raw\heart\heart (401).jpg,heart,train
data\raw\heart\heart (109).jpg,heart,train
data\raw\heart\heart (714).jpg,heart,train
data\raw\heart\heart (202).jpg,heart,train
data\raw\heart\heart (50).jpg,heart,train
data\raw\heart\heart (465).jpg,heart,train
data\raw\heart\heart (832).jpg,heart,train
data\raw\heart\heart (38).jpg,heart,train
data\raw\heart\heart (420).jpg,heart,train
data\raw\heart\heart (522).jpg,heart,train
data\raw\heart\heart (282).jpg,heart,train
data\raw\heart\heart (302).jpg,heart,train
data\raw\heart\heart (531).jpg,heart,train
data\raw\heart\heart (133).jpg,heart,train
data\raw\heart\heart (450).jpg,heart,train
data\raw\heart\heart (198).jpg,heart,train
data\raw\heart\heart (848).jpg,heart,train
data\raw\heart\heart (83).jpg,heart,train
data\raw\heart\heart (965).jpg,heart,train
data\raw\heart\heart (478).jpg,heart,train
data\raw\heart\heart (404).jpg,heart,train
data\raw\heart\heart (263).jpg,heart,train
data\raw\heart\heart (997).jpg,heart,train
data\raw\heart\heart (479).jpg,heart,train
data\raw\heart\heart (261).jpg,heart,train
data\raw\heart\heart (912).jpg,heart,train
data\raw\heart\heart (874).jpg,heart,train
data\raw\heart\heart (683).jpg,heart,train
data\raw\heart\heart (77).jpg,heart,train
data\raw\heart\heart (729).jpg,heart,train
data\raw\heart\heart (193).jpg,heart,train
data\raw\heart\heart (926).jpg,heart,train
data\raw\heart\heart (685).jpg,heart,train
data\raw\heart\heart (428).jpg,heart,train
data\raw\heart\heart (656).jpg,heart,train
data\raw\heart\heart (913).jpg,heart,train
data\raw\heart\heart (382).jpg,heart,train
data\raw\heart\heart (136).jpg,heart,train
data\raw\heart\heart (215).jpg,heart,train
data\raw\heart\heart (495).jpg,heart,train
data\raw\heart\heart (234).jpg,heart,train
data\raw\heart\heart (628).jpg,heart,train
data\raw\heart\heart (130).jpg,heart,train
data\raw\heart\heart (235).jpg,heart,train
data\raw\heart\heart (707).jpg,heart,train
data\raw\heart\heart (963).jpg,heart,train
data\raw\heart\heart (64).jpg,heart,train
data\raw\heart\heart (492).jpg,heart,train
data\raw\heart\heart (505).jpg,heart,train
data\raw\heart\heart (805).jpg,heart,train
data\raw\heart\heart (34).jpg,heart,train
data\raw\heart\heart (218).jpg,heart,train
data\raw\heart\heart (405).jpg,heart,train
data\raw\heart\heart (821).jpg,heart,train
data\raw\heart\heart (139).jpg,heart,train
data\raw\heart\heart (353).jpg,heart,train
data\raw\heart\heart (686).jpg,heart,train
data\raw\heart\heart (952).jpg,heart,train
data\raw\heart\heart (145).jpg,heart,train
data\raw\heart\heart (838).jpg,heart,train
data\raw\heart\heart (80).jpg,heart,train
data\raw\heart\heart (979).jpg,heart,train
data\raw\heart\heart (638).jpg,heart,train
data\raw\heart\heart (286).jpg,heart,train
data\raw\heart\heart (414).jpg,heart,train
data\raw\heart\heart (292).jpg,heart,train
data\raw\heart\heart (358).jpg,heart,train
data\raw\heart\heart (349).jpg,heart,train
data\raw\heart\heart (957).jpg,heart,train
data\raw\heart\heart (837).jpg,heart,train
data\raw\heart\heart (197).jpg,heart,train
data\raw\heart\heart (204).jpg,heart,train
data\raw\heart\heart (946).jpg,heart,train
data\raw\heart\heart (221).jpg,heart,train
data\raw\heart\heart (194).jpg,heart,train
data\raw\heart\heart (374).jpg,heart,train
data\raw\heart\heart (974).jpg,heart,train
data\raw\heart\heart (105).jpg,heart,train
data\raw\heart\heart (839).jpg,heart,train
data\raw\heart\heart (377).jpg,heart,train
data\raw\heart\heart (6).jpg,heart,train
data\raw\heart\heart (768).jpg,heart,train
data\raw\heart\heart (67).jpg,heart,train
data\raw\heart\heart (360).jpg,heart,train
data\raw\heart\heart (439).jpg,heart,train
data\raw\heart\heart (9).jpg,heart,train
data\raw\heart\heart (665).jpg,heart,train
data\raw\heart\heart (42).jpg,heart,train
data\raw\heart\heart (74).jpg,heart,train
data\raw\heart\heart (657).jpg,heart,train
data\raw\heart\heart (565).jpg,heart,train
data\raw\heart\heart (695).jpg,heart,train
data\raw\heart\heart (594).jpg,heart,train
data\raw\heart\heart (166).jpg,heart,train
data\raw\heart\heart (190).jpg,heart,train
data\raw\heart\heart (617).jpg,heart,train
data\raw\heart\heart (870).jpg,heart,train
data\raw\heart\heart (106).jpg,heart,train
data\raw\heart\heart (165).jpg,heart,train
data\raw\heart\heart (955).jpg,heart,train
data\raw\heart\heart (52).jpg,heart,train
data\raw\heart\heart (375).jpg,heart,train
data\raw\heart\heart (219).jpg,heart,train
data\raw\heart\heart (872).jpg,heart,train
data\raw\heart\heart (895).jpg,heart,train
data\raw\heart\heart (318).jpg,heart,train
data\raw\heart\heart (676).jpg,heart,train
data\raw\heart\heart (287).jpg,heart,train
data\raw\heart\heart (339).jpg,heart,train
data\raw\heart\heart (882).jpg,heart,train
data\raw\heart\heart (580).jpg,heart,train
data\raw\heart\heart (619).jpg,heart,train
data\raw\heart\heart (86).jpg,heart,train
data\raw\heart\heart (970).jpg,heart,train
data\raw\heart\heart (173).jpg,heart,train
data\raw\heart\heart (134).jpg,heart,train
data\raw\heart\heart (646).jpg,heart,train
data\raw\heart\heart (631).jpg,heart,train
data\raw\heart\heart (867).jpg,heart,train
data\raw\heart\heart (623).jpg,heart,train
data\raw\heart\heart (208).jpg,heart,train
data\raw\heart\heart (470).jpg,heart,train
data\raw\heart\heart (314).jpg,heart,train
data\raw\heart\heart (75).jpg,heart,train
data\raw\heart\heart (647).jpg,heart,train
data\raw\heart\heart (789).jpg,heart,train
data\raw\heart\heart (27).jpg,heart,train
data\raw\heart\heart (172).jpg,heart,train
data\raw\heart\heart (567).jpg,heart,train
data\raw\heart\heart (888).jpg,heart,train
data\raw\heart\heart (823).jpg,heart,train
